5000 24132
0 386 2
0 492 8
0 886 1
0 1421 1
0 1649 1
0 1915 4
0 2362 3
0 2777 6
0 2793 1
0 3335 2
0 4383 2
1 27 3
1 59 1
1 2763 1
1 3690 2
1 3926 1
2 211 2
2 540 1
2 736 1
2 3426 3
2 4172 1
3 368 4
3 782 3
3 1429 2
3 1530 1
3 2567 2
4 123 4
4 2862 2
4 3135 1
4 3929 1
4 4067 3
5 4802 2
6 3058 3
6 4022 9
7 1393 2
7 3069 1
7 3167 1
7 3456 1
8 11 1
8 1229 1
8 2373 5
8 3042 3
8 4421 1
9 198 2
9 3537 3
9 3784 2
9 4919 1
10 1091 3
10 1413 1
10 1862 2
10 1873 2
10 3315 6
10 3526 5
10 3980 13
10 4324 9
10 4370 1
10 4956 1
11 925 1
11 1996 8
11 2281 2
11 2305 1
11 4170 5
12 336 1
12 846 3
12 1313 1
12 1327 1
12 1505 1
12 1729 8
12 2084 1
13 857 3
13 1124 1
13 3895 2
13 4582 1
14 364 1
14 434 7
14 545 1
14 1087 2
14 1808 1
14 3367 2
14 3750 1
14 3814 1
14 4043 1
15 788 4
15 2178 6
15 2276 6
16 403 1
16 2651 5
16 2754 1
16 3584 3
17 60 1
17 2399 1
17 4932 1
18 4676 1
19 12 2
19 1226 7
19 2539 1
19 2739 6
19 3094 5
19 3368 1
19 3586 3
20 570 5
20 795 1
20 1434 1
21 378 1
21 1601 5
21 2467 1
22 97 1
22 280 3
22 492 5
22 756 1
22 1652 1
22 2301 1
22 2902 1
22 3317 6
23 1619 7
23 3440 4
23 3444 1
23 3865 2
23 4286 1
23 4441 1
23 4689 1
24 771 5
24 3031 1
24 3097 1
24 3117 5
24 4729 1
25 675 3
25 709 5
25 2856 6
25 3927 3
25 4481 1
25 4567 1
26 2353 1
26 4497 5
26 4586 1
27 306 2
27 1965 2
28 732 1
28 1219 1
28 1528 2
28 2871 2
28 3624 4
28 4683 1
29 19 2
29 1715 1
29 3270 1
29 3368 1
29 3829 4
29 4503 2
29 4708 8
30 723 2
30 1340 1
30 2618 1
30 2796 5
30 3149 1
31 2245 1
31 2846 2
31 3451 5
32 2379 1
32 2488 4
32 2921 7
32 3555 1
33 2350 1
33 2764 2
33 3228 4
33 4841 1
34 193 2
34 1500 28
34 2034 4
35 124 1
35 856 1
35 1987 1
35 2764 1
35 4914 1
36 1491 1
36 2227 3
36 3365 8
36 3743 1
37 1432 1
37 1936 1
37 4859 1
38 407 10
38 1437 5
38 1474 1
38 2551 1
38 3275 2
38 4228 1
39 1029 1
39 1121 6
39 1237 1
39 3235 1
39 3793 1
39 3858 1
39 4395 1
40 818 1
40 928 1
40 1011 1
40 1143 3
40 4428 11
40 4529 1
41 763 10
41 2404 1
41 3776 2
41 4443 1
41 4538 1
41 4613 3
43 128 1
43 688 1
43 1840 7
43 2369 3
43 2904 4
43 2917 14
43 3606 4
43 4818 5
44 1996 3
44 3324 1
44 4917 1
45 2183 1
45 2743 1
45 4470 2
46 3490 4
47 499 1
47 1725 2
47 4772 1
48 590 9
48 644 2
48 2505 1
48 2954 2
48 3139 1
48 4786 2
49 197 1
49 2669 3
49 3082 1
49 3464 1
49 3542 1
50 1348 2
50 3804 26
50 4355 1
50 4507 1
51 746 16
51 2343 3
51 2828 1
51 3611 6
51 3622 1
51 4299 2
52 422 1
52 568 1
52 2605 23
52 3311 2
52 3810 1
52 4340 5
53 661 1
53 1305 1
53 1801 1
53 3730 1
53 4320 1
53 4878 1
54 1708 1
54 3465 1
54 3522 1
54 3626 2
54 3736 7
54 4444 2
55 2062 3
55 2637 1
55 2924 1
55 3258 34
55 3282 1
55 3416 1
56 624 3
56 2036 1
56 2600 1
56 3452 1
57 71 14
57 550 2
57 1899 3
57 2468 3
57 4379 1
58 973 1
58 2131 2
58 3881 1
58 4930 6
59 163 1
59 894 1
59 3660 1
59 3933 1
60 2199 1
60 2981 3
60 3899 1
61 84 1
61 1095 1
61 1340 1
61 1466 1
61 2090 1
61 2190 5
61 2813 1
61 2926 2
61 2959 1
61 2996 5
61 3773 10
61 4668 5
62 542 16
62 936 1
62 2684 4
62 3376 2
63 2445 1
63 4107 1
63 4179 1
63 4756 3
64 1887 1
64 2172 1
64 3348 1
64 3418 1
64 4412 1
65 210 1
65 1659 1
65 2009 2
65 2336 1
66 321 1
66 1342 1
66 2372 1
66 2587 2
66 2713 2
66 3206 1
66 4301 9
67 1255 1
67 2721 5
67 4599 2
67 4819 2
67 4904 1
68 667 5
68 939 31
68 3940 1
68 4811 6
69 1127 3
69 1228 2
69 1705 2
70 984 3
70 1658 1
70 4150 1
71 2422 1
71 3920 1
71 4224 3
72 84 2
72 630 1
72 1396 1
72 2269 2
72 4081 1
73 385 8
73 1222 1
73 1972 1
73 2625 1
73 2672 1
73 3850 1
73 4292 1
74 1042 10
74 1640 1
74 4299 1
75 713 1
75 3898 1
76 524 1
76 1190 4
76 2298 9
77 2590 1
77 3209 4
77 3581 1
77 3819 1
77 4336 5
78 273 1
78 379 4
78 994 2
78 1155 1
78 2732 4
78 3004 1
78 4769 3
79 1776 1
79 1860 1
79 2255 3
79 3850 7
80 579 11
80 613 1
80 884 1
80 1993 10
80 2504 3
80 2621 2
80 3142 3
80 3205 2
80 4567 1
81 1326 25
81 1961 1
81 2754 4
81 3944 1
81 4259 6
82 1784 1
82 3202 1
82 3506 3
83 2021 4
83 2842 1
84 189 1
84 868 1
84 4528 2
85 498 4
